"OBJECTID","SCHOOL_NAM","County","X_Coord","Y_Coord"
"30269","TUMAINI ACADEMY PRIMARY","NYAMIRA","35.00983","-0.49181"
"30270","FOUNTAIN FILL PRI SCH","NAIROBI SOUTH","36.890511","-1.277358"
"30271","MATHAUTA PRI SCH","MACHAKOS","37.56036","-1.04213"
"30272","KISUMU NDOGO PRI SCH","NAIROBI WEST","36.788292","-1.310996"
"30273","TUIYOBEI PRI SCH","NAROK","35.429397","-0.942807"
"30274","ESTEEM ACADEMY - PRI SCH","NAIROBI NORTH","36.917405","-1.224434"
"30275","KIAMUNYEKI ACADEMY PRIMARY","NAKURU","36.147747","-0.289649"
"30276","STARLIGHT ACADEMY PRI","KERICHO","35.146638","-0.470309"
"30277","CLIMBING JUNIOR PRI","NYANDARUA","36.383825","-0.232144"
"30278","KISCE PRI SCH","NAIROBI WEST","36.780039","-1.311616"
"30279","JOI NDALU ACADEMY","BUNGOMA","34.991826","0.843927"
"30280","BAHARINI ACADEMY PRI SCH","TRANS NZOIA","35.030563","1.015473"
"30281","NYANGWETA PRI","NYAMIRA","34.965012","-0.623375"
"30282","MSAMARIA YOUTH CENTER PRI SCH","NAIROBI NORTH","36.872093","-1.269081"
"30283","CHERANGANY UPENDO PRI SCH","TRANS NZOIA","35.2599","1.030201"
"30284","CHEPTIKIT ACADEMY PRI","BUNGOMA","34.711498","0.845156"
"30285","BROADWAY ACADEMY PRI","MOMBASA","39.61238","-4.021"
"30286","MARERENI  PRIMARY SPECIAL UNIT","KILIFI","40.15051","-2.85503"
"30287","NGUNGURU PRI SPECIAL UNIT","NYERI","37.095095","-0.506577"
"30288","MUUSINI PRIMARY SCHOOL","MACHAKOS","37.433918","-1.099216"
"30289","ST. KEZIAH PRIMARY","NAKURU","36.135394","-0.272687"
"30290","GREAT LOVE ACADEMY","NAIROBI NORTH","36.891263","-1.273444"
"30291","IMMACULATE PRI SCH","NAIROBI SOUTH","36.945084","-1.269562"
"30292","LARY ACADEMY PRI SCH","UASIN GISHU","35.294847","0.567998"
"30293","ST JOHN EDUCATION CENTRE PRI SCH","TRANS NZOIA","34.977999","1.038815"
"30294","OSHWAL ACADEMY NAIROBI - PRI","NAIROBI NORTH","36.80873","-1.256925"
"30295","ILTUROT PRI SCH","NAROK","36.163117","-1.050195"
"30296","UTHINI PRY","MAKUENI","37.35475","-1.85166"
"30297","IHIGA PRI SCH","MURANG'A","37.006875","-0.677724"
"30298","SAIRE PRI SCH","NAROK","35.606011","-0.784511"
"30299","SOUNDS ACADEMY PRI","KISII","34.683435","-0.762628"
"30300","GENESIS ACADEMY - PRI","KERICHO","35.27054","-0.3601"
"30301","OLEKISEREMA ACADEMY PRI","NAROK","34.85519","-0.93342"
"30302","TOROKIAT NEWLIFE ACA PRY)","NAROK","35.701799","-0.821201"
"30303","CHEBWARE GATEWAY ACADEMY","BUNGOMA","34.629555","0.832685"
"30304","ELERAI PRIMARY","KAJIADO","37.73584","-3.17259"
"30305","M.C.K KIENGU ACADEMY PRY SCH","MERU","37.978025","0.268596"
"30306","LIKUME PRY","KAKAMEGA","34.753669","0.394069"
"30307","KITALE ADVENTIST  PRI SCH","TRANS NZOIA","34.99183","1.02775"
"30308","NANIGHT PRIMARY","TANA RIVER","39.83217","-0.848279"
"30309","LEACHILIMO PRI SCH","UASIN GISHU","35.437083","0.527366"
"30310","TIMANNE JUNIOR ACADEMY - PRI","NAIROBI SOUTH","36.91507","-1.266934"
"30311","CCM MERU TOWNSHIP PRI SCH","MERU","37.64905","0.055301"
"30312","AMAI SUNSHINE ACADEMY PRI","UASIN GISHU","35.168868","0.908559"
"30313","AVENUE JUNIOR PRI","NYANDARUA","36.421933","0.047813"
"30314","GATUMBI BAPIST PRI SCH","EMBU","37.55978","-0.374896"
"30315","DIDA PRI","KILIFI","39.804089","-3.423961"
"30316","MONDLENE PRI SCH","NAIROBI NORTH","36.882195","-1.244922"
"30317","SUNSHINE PRI","UASIN GISHU","35.255941","0.481659"
"30318","KIPLEGES PRI SCH","KERICHO","35.14466","-0.16873"
"30319","MAMA MLAI ACADEMY PRI","MOMBASA","39.59962","-4.0086"
"30320","PIPELINE MUKURU ACADEMY PRI","NAIROBI SOUTH","36.89192","-1.31436"
"30321","MBUANI PRY","KWALE","39.531883","-4.293612"
"30322","KIWAIGURU PRIMARY SCHOOL","KIAMBU","36.84633","-1.05905"
"30323","ELIMU ACADEMY PRI","BOMET","35.072453","-0.693769"
"30324","KIHURO PRI","NYERI","37.111185","-0.425105"
"30325","SAMBU ACADEMY PRI","KERICHO","35.2742","-0.3551"
"30326","KANDIE SPECIAL UNIT","UASIN GISHU","35.243966","0.530293"
"30327","SOSOMA PRIMARY SCHOOL","KITUI","38.67405","-0.8763"
"30328","WAIGANJO ACACDEMY PRI SCH","KIAMBU","36.78859","-0.97279"
"30329","DEB KARWAMBA PRI","THARAKA NITHI","37.953495","-0.007346"
"30330","CORAL JUNOIR SCH","KILIFI","39.759757","-3.937326"
"30331","ARYA PRI SCH","UASIN GISHU","35.266154","0.521185"
"30332","SUCCESS EDUCATION CENTER PRI","NAIROBI NORTH","36.899466","-1.214969"
"30333","MARIE TOP PRI SCH","MOMBASA","39.69503","-4.03449"
"30334","KIORU PRI SCH","MERU","37.566558","-0.025293"
"30335","NYAMBIONE PRIMARY","NYAMIRA","34.987318","-0.464456"
"30336","GATEWAYS ACADEMY PRI","UASIN GISHU","35.197093","0.389721"
"30337","ST JUDE MUANDA RC PRI","BUNGOMA","34.507239","0.56278"
"30338","ST MICHAELS HILL SCH","NAIROBI SOUTH","36.94701","-1.246778"
"30339","BRAEBURN MOMBASA INTERNATIONAL SCH","MOMBASA","39.74525","-3.96926"
"30340","KEBARISIA JUNIOR ACA.PRY","MIGORI","34.610634","-1.269797"
"30341","FRED'S GRAMMAR SCH","KIRINYAGA","37.160519","-0.560071"
"30342","TIMBILA SPECIAL UNIT","TAITA TAVETA","37.71132","-3.38612"
"30343","WATUKA TREASURY PRIM. SCH.","NYERI","36.767662","-0.283656"
"30344","CHIRIMACHAUHA PRY SCH","KWALE","39.333744","-4.056148"
"30345","AREK MEMORIAL PRI","MIGORI","34.60268","-0.75242"
"30346","MUSINGINI PRI SCH","MACHAKOS","37.59761","-1.02326"
"30347","THE HAVEN ACADEMY","KISUMU","34.592373","-0.008145"
"30348","CHEPKOIN ACADEMY PRI","BOMET","35.28412","-0.607"
"30349","ACK KARIINI PRI","MERU","37.880671","-0.100383"
"30350","TIRANA BROOKVIEW PRY SCH","MOMBASA","39.66339","-4.05501"
"30351","SIFA PRI SCH","KIAMBU","36.75648","-1.20298"
"30352","SANJO PRI SCH","KIAMBU","36.74709","-1.00107"
"30353","DUJIS PRIMARY SCH","GARISSA","39.392682","0.250904"
"30354","EMATETE PRY  SCH","KAKAMEGA","34.66436","0.25254"
"30355","READINGLAND SCH - PRI","NAIROBI NORTH","36.902645","-1.194024"
"30356","AIC KABOEN PRI","NANDI","35.1468","0.19603"
"30357","KASA EMMANUEL PRI SCH","NAIROBI NORTH","36.882595","-1.238198"
"30358","M.C.K. HIGHWAY ACADEMY - PRI","ISIOLO","37.58514","0.35297"
"30359","ROMKON ACADEMY PRI","KISII","34.666297","-0.749138"
"30360","GAMBOGI PRI","VIHIGA","34.740707","0.002998"
"30361","HILLVIEW ACADEMY","KIRINYAGA","37.231191","-0.579273"
"30362","JACTER KINAGOP PRI","NYANDARUA","36.565702","-0.504012"
"30363","CCM NDURUMURU  PRI. SCH.","MERU","37.381553","0.138258"
"30364","OUR LADY OF PEACE PRI","NAIROBI WEST","36.709386","-1.322535"
"30365","ST. CHRISTINE ACADEMY PRI SCH","MURANG'A","37.034016","-0.948688"
"30366","HOMABAY PRY SPECIAL UNIT","HOMA BAY","34.458796","-0.53121"
"30367","JOSEPH APUDO PRI SCH","NAIROBI SOUTH","36.849616","-1.29584"
"30368","CCM ONTULILI  SPECIAL SCH.","MERU","37.139708","0.032812"
"30369","TOPEN SOY ACA","KERICHO","35.1629","-0.28327"
"30370","KIRIKO PRI SCH","BUSIA","34.307795","0.619798"
"30371","L. RAHONGO PRI SCH","SIAYA","34.30716","-0.32088"
"30372","SOMBOGO ACADEMY","KISII","34.805162","-0.570748"
"30373","ST PAULS SCHOOL","NANDI","34.95934","0.18038"
"30374","FRIENDS BRIGHT ACADEMY PRI SCH","TRANS NZOIA","35.108279","1.17887"
"30375","MUTHITHU PRI SCH","MACHAKOS","37.82426","-0.94118"
"30376","FUTURE KINGS PREPARATORY PRI SCH","KILIFI","40.11076","-3.22694"
"30377","BENROSE ACADEMY - PRI","NAIROBI NORTH","36.916904","-1.223276"
"30378","PCEA MWIMBI BOARDING PRI","THARAKA NITHI","37.619621","-0.244355"
"30379","CHORWAI PRI SCH","ELGEYO MARAKWET","35.316147","1.139834"
"30380","WIN ACADEMY PRY SCH","MIGORI","34.453198","-1.113836"
"30381","AMK CENTER","NAIROBI NORTH","36.88391","-1.23658"
"30382","THE VILLAGE SCH PRI","MOMBASA","39.69729","-4.02839"
"30383","CCM KIGAA PRI SCH","EMBU","37.577128","-0.442098"
"30384","ESANAGE DEB SPECIAL UNIT","NYAMIRA","35.020066","-0.477204"
"30385","NABISWA FYM PRI","BUNGOMA","34.850182","0.710647"
"30386","MLALEO PRI SCH SPECIAL UNIT","MOMBASA","39.6866","-4.02628"
"30387","ROBINS ACADEMY PRI","NAIROBI NORTH","36.906964","-1.200419"
"30388","TAPOYO PRI SCH","WEST POKOT","35.209359","1.336623"
"30389","ST. PHILIPS ACADEMY-PRI SCH","MURANG'A","36.964089","-0.711147"
"30390","TEGEA JUNIOR ACADEMY PRI SCH","NAKURU","35.550933","-0.296684"
"30391","MWANAMBIRI JUNIOR ACADEMY","MIGORI","34.436777","-1.013356"
"30392","SINGOI PRI SCH","KAJIADO","36.93194","-2.024541"
"30393","BIYAMADHON PRI SCH","WAJIR","40.41117","0.61792"
"30394","CHILULU SPECIAL UNIT","KILIFI","39.649966","-3.794777"
"30395","NDUBI PRI SCH","KIAMBU","36.82314","-0.943346"
"30396","KAPSOROK PRI SCH","NAKURU","35.774176","-0.21061"
"30397","FRERETOWN PRI SCH","MOMBASA","39.69275","-4.02262"
"30398","NDEKI PRI SCH","NYERI","36.72153","-0.148418"
"30399","ST MARY'S MASABA PRI","UASIN GISHU","35.34714","0.240773"
"30400","NYAMUTIRO MFA PRY","MIGORI","34.592941","-1.304399"
"30401","VICTORY EDUCATION CENTRE PRIMARY","NAKURU","36.151886","-0.386425"
"30402","HIGHGATE KINDERGARTEN PRI","MIGORI","34.473","-1.057826"
"30403","KOONY ACADEMY PRI","BUNGOMA","34.774748","0.879796"
"30404","ST JOSEPHS ACADEMY PRI","KIAMBU","36.921662","-1.197679"
"30405","MALLAI ACADEMY-PRY SCH","MERU","37.932145","0.271011"
"30406","TINGOLO PRI SCH","BUSIA","34.374546","0.342481"
"30407","SANKURI PRI","TANA RIVER","39.555813","-0.298557"
"30408","KARABONDI PRI SCH","HOMA BAY","34.7202","-0.35687"
"30409","SENIOR HOPE ACADEMY","KISII","34.839717","-0.769001"
"30410","WASSERMAN PRI","KILIFI","39.741682","-3.948036"
"30411","SHAWA JUNIOR ACADEMY PRI","KAKAMEGA","34.503686","0.31399"
"30412","ABUNDANT LIFE SELF HELP SCH","NAIROBI NORTH","36.857857","-1.262687"
"30413","KIPCHIMCHIM PRI SCH","KERICHO","35.26683","-0.32521"
"30414","WONYOI PRI","WEST POKOT","35.137333","1.648224"
"30415","CHRISCO VICTORIAN ACADEMY PRY SCH","MERU","37.942989","0.230318"
"30416","QUIET WATERS ACADEMY PRI SCH","TRANS NZOIA","35.032515","1.040124"
"30417","SOSIO SPECIAL UNIT","BUNGOMA","34.787103","0.796893"
"30418","KAPOSES PRI SCH","WEST POKOT","35.57499","1.44391"
"30419","PARAMOUNT ACADEMY PRIMARY SCH","NAKURU","36.06541","-0.304229"
"30420","KIVANDINI PRIMARY","MAKUENI","37.26861","-1.66948"
"30421","MWAMGUDA PRY","KWALE","39.193554","-4.437583"
"30422","JUBILEE ACADEMY PRI. SCH","LAIKIPIA","37.128534","0.037504"
"30423","KOMAROCK SCH PRI","NAIROBI SOUTH","36.909694","-1.268926"
"30424","COMMUNITY URBAN VIEW CENTRE PRI)","NAIROBI NORTH","36.867902","-1.255575"
"30425","ISOVYA PRI SCH","MAKUENI","37.43428","-1.80871"
"30426","TAA TENTS ALTENATIVE ACDEMY PRMARY","KISII","34.895207","-0.814882"
"30427","ACK THINDIGWA PRIMARY","NAIROBI NORTH","36.84728","-1.2067"
"30428","NJUKIRI PRI SCH","EMBU","37.446075","-0.509724"
"30429","KWALE PRI","MAKUENI","37.29411","-1.94626"
"30430","MORACHO FAITH ACADEMY","NYAMIRA","34.90784","-0.50191"
"30431","UON UTAFITI PRY","MAKUENI","38.02365","-2.30734"
"30432","KIRIGU PRI SCH","NAIROBI WEST","36.698012","-1.284991"
"30433","NGAALE PRI","KITUI","38.2271","-0.6613"
"30434","AIC ITET PRI SCH","UASIN GISHU","35.307429","0.703874"
"30435","AIC CHERIBISI","NANDI","35.17721","0.2008"
